id,name,galaxy,type,period,ra,dec,magU,magB,magV,magR,magI,magJ,magH,magK,magu,magg,magr,magi,magz,magG,magW1,magW2,magW3,magW4
20001,OGLE LMC SC1 14252,LMC,DCEP,1.72829,5 32 57.60,-70 22 35.70,,16.064,15.725,,15.282,,,,,,,,,,,,,
23231,OGLE-LMC-CEP-3061,LMC,DCEP,12.0903122,5 44 16.82,-69 18 14.70,,,14.925,,13.875,,,,,,,,,,,,,
23229,OGLE-LMC-CEP-3058,LMC,DCEP,2.5864689,5 44 14.77,-69 51 39.90,,,16.998,,16.026,,,,,,,,,,,,,
23228,OGLE-LMC-CEP-3057,LMC,DCEP,2.0221146,5 44 14.22,-70 41 13.40,,,15.879,,15.261,,,,,,,,,,,,,
23227,OGLE-LMC-CEP-3056,LMC,DCEP,5.2083222,5 44 9.86,-69 12 30.80,,,15.47,,14.685,,,,,,,,,,,,,
23226,OGLE-LMC-CEP-3055,LMC,DCEP,4.4427043,5 44 2.76,-68 10 7.30,,,15.781,,14.98,,,,,,,,,,,,,
23225,OGLE-LMC-CEP-3054,LMC,DCEP,2.31295,5 44 2.63,-68 49 14.80,,,16.809,,15.943,,,,,,,,,,,,,
23224,OGLE-LMC-CEP-3051,LMC,DCEP,2.3269608,5 43 59.77,-68 51 25.50,,,15.944,,15.209,,,,,,,,,,,,,
23223,OGLE-LMC-CEP-3049,LMC,DCEP,2.0332282,5 43 58.86,-69 29 14.50,,,16.275,,15.438,,,,,,,,,,,,,
23222,OGLE-LMC-CEP-3048,LMC,DCEP,1.8116808,5 43 58.38,-68 54 10.10,,,16.276,,15.578,,,,,,,,,,,,,
23221,OGLE-LMC-CEP-3046,LMC,DCEP,1.6317078,5 43 55.38,-71 44 38.90,,,16.494,,15.798,,,,,,,,,,,,,
23220,OGLE-LMC-CEP-3044,LMC,DCEP,4.0692071,5 43 41.02,-71 15 12.30,,,16.215,,15.254,,,,,,,,,,,,,
23219,OGLE-LMC-CEP-3041,LMC,DCEP,1.0944584,5 43 39.84,-69 44 16.90,,,17.102,,16.389,,,,,,,,,,,,,
23218,OGLE-LMC-CEP-3040,LMC,DCEP,1.8095943,5 43 39.54,-71 59 20.90,,,16.366,,15.642,,,,,,,,,,,,,
23217,OGLE-LMC-CEP-3038,LMC,DCEP,1.9861446,5 43 35.72,-69 7 47.00,,,17.145,,16.249,,,,,,,,,,,,,
23216,OGLE-LMC-CEP-3037,LMC,DCEP,3.083662,5 43 33.96,-69 18 40.60,,,15.755,,14.575,,,,,,,,,,,,,
23215,OGLE-LMC-CEP-3035,LMC,DCEP,1.4771926,5 43 27.31,-69 36 19.90,,,17.012,,16.154,,,,,,,,,,,,,
23230,OGLE-LMC-CEP-3060,LMC,DCEP,2.7044622,5 44 16.77,-69 51 52.40,,,17.454,,16.291,,,,,,,,,,,,,
23232,OGLE-LMC-CEP-3062,LMC,DCEP,2.9428218,5 44 20.55,-72 1 32.60,,,15.837,,15.151,,,,,,,,,,,,,
23213,OGLE-LMC-CEP-3033,LMC,DCEP,1.77029,5 43 14.74,-67 47 26.00,,,16.397,,15.716,,,,,,,,,,,,,
23234,OGLE-LMC-CEP-3064,LMC,DCEP,4.4754433,5 44 21.11,-68 32 57.80,,,16.611,,15.452,,,,,,,,,,,,,
23249,OGLE-LMC-CEP-3090,LMC,DCEP,2.7963328,5 44 51.68,-68 31 54.10,,,15.69,,15.001,,,,,,,,,,,,,
23248,OGLE-LMC-CEP-3088,LMC,DCEP,1.0999959,5 44 47.62,-68 53 22.00,,,17.213,,16.49,,,,,,,,,,,,,
23247,OGLE-LMC-CEP-3087,LMC,DCEP,2.9902581,5 44 46.07,-70 3 6.40,,,16.178,,15.454,,,,,,,,,,,,,
23246,OGLE-LMC-CEP-3085,LMC,DCEP,4.4219554,5 44 40.87,-69 41 45.20,,,16.332,,15.308,,,,,,,,,,,,,
23245,OGLE-LMC-CEP-3084,LMC,DCEP,1.9114845,5 44 40.82,-69 55 13.10,,,16.172,,15.473,,,,,,,,,,,,,
23244,OGLE-LMC-CEP-3081,LMC,DCEP,0.33656,5 44 37.41,-70 28 53.20,,,18.877,,18.206,,,,,,,,,,,,,
23243,OGLE-LMC-CEP-3079,LMC,DCEP,1.0088029,5 44 36.33,-72 9 9.00,,,17.047,,16.468,,,,,,,,,,,,,
23242,OGLE-LMC-CEP-3078,LMC,DCEP,3.6398925,5 44 35.47,-68 36 16.30,,,16.093,,15.263,,,,,,,,,,,,,
23241,OGLE-LMC-CEP-3076,LMC,DCEP,0.6517849,5 44 33.26,-71 29 32.30,,,17.538,,16.928,,,,,,,,,,,,,
23240,OGLE-LMC-CEP-3075,LMC,DCEP,1.3414011,5 44 32.53,-70 1 32.50,,,16.921,,16.127,,,,,,,,,,,,,
23239,OGLE-LMC-CEP-3073,LMC,DCEP,0.4559606,5 44 30.04,-71 22 37.20,,,18.336,,17.662,,,,,,,,,,,,,
23238,OGLE-LMC-CEP-3072,LMC,DCEP,4.2974635,5 44 27.46,-69 31 33.20,,,15.501,,14.635,,,,,,,,,,,,,
23237,OGLE-LMC-CEP-3070,LMC,DCEP,1.5631932,5 44 24.83,-69 58 31.70,,,16.112,,15.683,,,,,,,,,,,,,
23236,OGLE-LMC-CEP-3069,LMC,DCEP,2.5135362,5 44 24.00,-71 5 37.20,,,16.583,,15.785,,,,,,,,,,,,,
23235,OGLE-LMC-CEP-3068,LMC,DCEP,1.7144738,5 44 23.69,-71 37 18.90,,,16.354,,15.677,,,,,,,,,,,,,
23214,OGLE-LMC-CEP-3034,LMC,DCEP,1.183228,5 43 20.57,-71 8 47.80,,,17.005,,16.302,,,,,,,,,,,,,
23212,OGLE-LMC-CEP-3032,LMC,DCEP,2.7190146,5 43 13.91,-71 3 13.40,,,16.742,,15.796,,,,,,,,,,,,,
23251,OGLE-LMC-CEP-3092,LMC,DCEP,4.7099021,5 44 52.03,-68 38 46.20,,,15.546,,14.813,,,,,,,,,,,,,
23193,OGLE-LMC-CEP-3004,LMC,DCEP,1.5239929,5 42 44.14,-68 33 15.40,,,17.159,,16.465,,,,,,,,,,,,,
23191,OGLE-LMC-CEP-3000,LMC,DCEP,0.7056444,5 42 40.71,-71 46 20.10,,,17.301,,16.737,,,,,,,,,,,,,
23190,OGLE-LMC-CEP-2999,LMC,DCEP,5.406423,5 42 38.91,-68 40 14.50,,,15.455,,14.429,,,,,,,,,,,,,
23189,OGLE-LMC-CEP-2996,LMC,DCEP,1.8260389,5 42 32.58,-68 30 36.10,,,17.116,,16.328,,,,,,,,,,,,,
23188,OGLE-LMC-CEP-2994,LMC,DCEP,3.703596,5 42 31.47,-71 4 32.90,,,15.547,,14.469,,,,,,,,,,,,,
23187,OGLE-LMC-CEP-2990,LMC,DCEP,1.285872,5 42 28.49,-69 46 56.40,,,16.424,,15.842,,,,,,,,,,,,,
23186,OGLE-LMC-CEP-2989,LMC,DCEP,1.8831164,5 42 28.19,-71 6 15.60,,,16.427,,15.629,,,,,,,,,,,,,
23185,OGLE-LMC-CEP-2988,LMC,DCEP,0.366206,5 42 26.19,-68 33 55.40,,,18.339,,17.767,,,,,,,,,,,,,
23184,OGLE-LMC-CEP-2985,LMC,DCEP,2.2058674,5 42 23.01,-69 51 22.10,,,15.79,,15.157,,,,,,,,,,,,,
23183,OGLE-LMC-CEP-2984,LMC,DCEP,4.3096326,5 42 22.03,-68 8 38.20,,,14.909,,14.226,,,,,,,,,,,,,
23182,OGLE-LMC-CEP-2982,LMC,DCEP,3.2971106,5 42 21.13,-70 32 40.90,,,15.246,,14.601,,,,,,,,,,,,,
23181,OGLE-LMC-CEP-2978,LMC,DCEP,1.2360706,5 42 16.34,-69 52 38.60,,,16.798,,16.127,,,,,,,,,,,,,
23180,OGLE-LMC-CEP-2976,LMC,DCEP,2.9251105,5 42 15.51,-71 10 53.40,,,16.748,,15.769,,,,,,,,,,,,,
23179,OGLE-LMC-CEP-2975,LMC,DCEP,4.2062552,5 42 15.16,-68 20 55.50,,,14.841,,14.203,,,,,,,,,,,,,
23178,OGLE-LMC-CEP-2973,LMC,DCEP,0.6055532,5 42 12.10,-71 12 8.20,,,17.949,,17.181,,,,,,,,,,,,,
23177,OGLE-LMC-CEP-2972,LMC,DCEP,3.9130763,5 42 11.93,-68 50 19.90,,,15.945,,15.169,,,,,,,,,,,,,
23192,OGLE-LMC-CEP-3003,LMC,DCEP,2.6259978,5 42 44.10,-68 35 11.30,,,16.099,,15.446,,,,,,,,,,,,,
23194,OGLE-LMC-CEP-3005,LMC,DCEP,2.0329849,5 42 45.11,-67 55 15.30,,,15.774,,15.174,,,,,,,,,,,,,
23211,OGLE-LMC-CEP-3030,LMC,DCEP,0.6470252,5 43 12.19,-72 27 38.60,,,17.643,,17.023,,,,,,,,,,,,,
23195,OGLE-LMC-CEP-3006,LMC,DCEP,3.733429,5 42 46.89,-67 51 18.90,,,15.53,,14.905,,,,,,,,,,,,,
23210,OGLE-LMC-CEP-3028,LMC,DCEP,4.783125,5 43 10.49,-69 28 10.80,,,15.553,,14.763,,,,,,,,,,,,,
23209,OGLE-LMC-CEP-3027,LMC,DCEP,3.0133632,5 43 9.10,-69 36 38.90,,,16.372,,15.586,,,,,,,,,,,,,
23208,OGLE-LMC-CEP-3026,LMC,DCEP,1.8349969,5 43 8.53,-71 38 13.50,,,16.29,,15.545,,,,,,,,,,,,,
23207,OGLE-LMC-CEP-3025,LMC,DCEP,0.5686925,5 43 7.63,-71 20 7.60,,,17.517,,16.959,,,,,,,,,,,,,
23206,OGLE-LMC-CEP-3024,LMC,DCEP,8.5588051,5 43 5.96,-69 29 26.50,,,15.136,,14.236,,,,,,,,,,,,,
23205,OGLE-LMC-CEP-3023,LMC,DCEP,0.3981143,5 43 2.81,-70 22 48.80,,,18.71,,17.934,,,,,,,,,,,,,
23204,OGLE-LMC-CEP-3022,LMC,DCEP,2.6142855,5 43 2.80,-71 6 18.90,,,16.645,,15.777,,,,,,,,,,,,,
